Model,Accuracy,Precision,Recall,F1 Score,ROC AUC
XGBoost,0.9993832164381631,0.8260869565217391,0.8,0.8128342245989305,0.9779181674685911
Random Forest,0.9994360836006062,0.9090909090909091,0.7368421052631579,0.813953488372093,0.9737881711569173
LightGBM,0.9993832164381631,0.8488372093023255,0.7684210526315789,0.8066298342541437,0.9616959425624483
Logistic Regression,0.9733725725161245,0.05246523388116309,0.8736842105263158,0.09898628503279666,0.9592266220970689
